"datos_completos$member_casual","datos_completos$day_of_week","datos_completos$ride_length"
"casual",1,1570.04538060653
"member",1,817.049182432166
"casual",2,1369.05391543401
"member",2,693.93152763309
"casual",3,1225.36854877772
"member",3,701.159846218007
"casual",4,1177.26507819341
"member",4,700.923639141589
"casual",5,1210.35607003675
"member",5,706.661329430871
"casual",6,1308.39169707252
"member",6,720.923865107231
"casual",7,1526.37782931777
"member",7,820.980015536037
